,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
0,303.2,355.0,17.084432717678098,282.05,355.0,-6.975593667546165,17.084432717678098
1,250.0,262.69,5.075999999999992,238.02,274.12,-4.791999999999996,9.648000000000012
2,271.52,242.0,-10.872127283441358,236.51,283.5,-12.894077784325276,4.412197996464351
3,220.64,255.96,16.007976794778834,219.47,255.96,-0.5302755620014477,16.007976794778834
4,265.0,307.36,15.984905660377358,265.0,307.36,0.0,15.984905660377358
5,242.79,231.81,-4.522426788582723,225.14,265.07,-7.269656905144362,9.176654722187894
6,184.08,211.0,14.62407648848325,181.4,211.0,-1.4558887440243362,14.62407648848325
7,179.23,170.0,-5.14980750990347,167.39,185.15,-6.606036935780846,3.3030184678904284
8,185.56,177.86,-4.149601207156706,175.0,197.4,-5.690881655529212,6.380685492563054
9,146.54,172.41,17.653882898867202,143.25,172.41,-2.24512078613347,17.653882898867202
10,147.2,168.14,14.22554347826086,137.21,168.14,-6.786684782608687,14.22554347826086
11,161.52,185.5,14.846458642892513,153.7,185.5,-4.8415056958890705,14.846458642892513
12,243.02,205.1,-15.60365402024525,205.1,251.01,-15.60365402024525,3.2877952431898505
13,201.98,230.53,14.135062877512627,194.8,230.53,-3.554807406673921,14.135062877512627
14,215.89,210.79,-2.3623141414609305,205.33,217.0,-4.89137986937791,0.5141507249062149
15,209.0,198.15,-5.191387559808613,196.84,209.0,-5.818181818181811,0.0
16,187.89,172.8,-8.031294906594265,171.68,191.8,-8.627388365533017,2.081004843259371
17,163.26,147.73,-9.512434154110005,146.29,163.26,-10.39446282004165,0.0
18,161.21,161.59,0.23571738725884916,156.25,175.79,-3.0767322126418972,9.044103963773953
19,160.32,159.58,-0.4615768463073766,157.76,162.54,-1.5968063872255467,1.3847305389221631
20,119.16,135.9,14.04833836858006,118.15,135.9,-0.8475998657267447,14.04833836858006
21,116.15,114.01,-1.8424451140766296,113.03,122.38,-2.6861816616444267,5.363753766681012
22,118.4,137.79,16.376689189189175,113.47,137.79,-4.163851351351355,16.376689189189175
23,152.32,145.2,-4.674369747899165,142.44,165.79,-6.486344537815125,8.843224789915972
24,148.61,146.03,-1.7360877464504543,146.03,155.35,-1.7360877464504543,4.535361012044947
25,152.46,174.8,14.653023743932847,151.23,174.8,-0.8067689885871809,14.653023743932847
26,144.43,136.23,-5.677490826005693,134.5,151.0,-6.875302914906878,4.548916430104555
27,135.25,133.33,-1.4195933456561782,132.71,140.86,-1.8780036968576663,4.147874306839205
28,120.59,118.89,-1.4097354672858442,118.47,122.2,-1.7580230533211783,1.335102413135414
29,119.7,117.85,-1.5455304928989166,115.83,121.99,-3.233082706766921,1.9131161236424221
30,118.53,117.4,-0.9533451446890995,117.4,127.75,-0.9533451446890995,7.778621446047418
31,121.34,118.47,-2.3652546563375676,118.47,123.37,-2.3652546563375676,1.6729850008241343
32,97.36,93.85,-3.6051766639277005,93.66,99.09,-3.8003286770747824,1.7769104354971255
33,98.44,97.6,-0.8533116619260483,97.6,99.59,-0.8533116619260483,1.1682242990654235
34,98.26,97.6,-0.671687360065143,95.5,100.04,-2.80887441481783,1.8115204559332465
35,77.01,79.19,2.8308011946500455,76.97,81.31,-0.051941306323866065,5.583690429814303
36,79.8,81.3,1.8796992481203034,78.94,82.96,-1.0776942355889663,3.95989974937343
37,80.42,83.8,4.202934593384722,78.42,89.46,-2.4869435463814926,11.24098482964435
38,84.79,79.85,-5.826158745135057,79.85,85.1,-5.826158745135057,0.365609152022639
39,76.34,76.09,-0.32748231595494115,75.79,76.86,-0.7204610951008661,0.6811632171862758
40,79.0,90.39,14.417721518987348,77.77,90.39,-1.5569620253164662,14.417721518987348
41,82.82,83.37,0.6640907993238576,81.07,90.32,-2.113016179666749,9.05578362714321
42,83.65,82.92,-0.8726838015540972,82.86,84.45,-0.9444112372982705,0.9563658099222883
43,76.2,75.0,-1.5748031496063075,75.0,76.59,-1.5748031496063075,0.5118110236220552
44,73.41,74.09,0.9263043182127895,73.3,74.97,-0.14984334559324797,2.125051082958729
45,59.26,52.53,-11.356733040836986,52.53,60.2,-11.356733040836986,1.586230172122849
46,55.16,56.8,2.97316896301667,54.62,62.0,-0.978970268310364,12.400290065264684
47,55.42,56.51,1.9667989895344684,54.96,57.29,-0.8300252616384007,3.3742331288343586
