start_time,entry,end_time,exit,profit
2019-07-02,5.638392731107785,2019-07-14,4.1,-27.28
2019-07-24,4.415375119941663,2019-07-27,4.2748,-3.18
2019-09-08,3.721032313207547,2019-09-10,3.7742,1.43
2019-10-27,3.3086481476165734,2019-10-28,3.2822,-0.8
2019-10-29,3.366046380014303,2019-10-30,3.2672,-2.94
2019-11-04,3.366046380014303,2019-11-05,3.618,7.49
2020-01-12,3.207112427548999,2020-01-13,3.1049,-3.19
2020-01-14,3.219520818825478,2020-02-26,3.5344,9.78
2020-03-02,3.68128792214476,2020-03-03,3.6233,-1.58
2020-03-05,3.6561823122756785,2020-03-07,3.6409,-0.42
2020-07-28,2.8587710840983505,2020-09-03,2.6133,-8.59
2020-09-04,2.902755612485821,2020-09-06,2.9024,-0.01
2020-11-21,2.785159706747538,2020-12-08,2.803,0.64
2020-12-13,2.8147761986809643,2020-12-23,2.3148,-17.76
2021-01-05,2.8322456072313145,2021-01-11,2.6663,-5.86
