,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
0,411.35,409.85,-0.3646529719217195,409.15,412.5,-0.5348243588185309,0.27956727847331386
1,404.5,408.85,1.0754017305315333,404.5,410.2,0.0,1.4091470951792306
2,367.6,363.35,-1.1561479869423241,363.35,368.7,-1.1561479869423241,0.29923830250271344
3,328.8,317.0,-3.588807785888082,317.0,328.8,-3.588807785888082,0.0
4,280.05,281.1,0.3749330476700674,278.6,288.0,-0.5177646848776973,2.8387787895018723
5,292.15,289.25,-0.9926407667294135,289.25,303.95,-0.9926407667294135,4.0390210508300495
6,284.15,298.35,4.997360549005814,282.35,319.0,-0.6334682386063495,12.264648953017776
7,291.3,284.5,-2.3343631994507397,284.5,292.35,-2.3343631994507397,0.3604531410916545
8,280.0,273.4,-2.3571428571428688,273.4,280.0,-2.3571428571428688,0.0
9,280.65,272.95,-2.74363085693925,272.95,283.3,-2.74363085693925,0.9442365936219721
10,278.6,275.8,-1.005025125628145,275.8,279.6,-1.005025125628145,0.3589375448671994
11,280.3,277.95,-0.8383874420264115,276.0,297.4,-1.5340706386015035,6.100606493043159
12,284.45,280.75,-1.3007558446124112,280.75,284.45,-1.3007558446124112,0.0
13,286.85,286.1,-0.2614606937423769,285.05,288.0,-0.6275056649816979,0.4009063970716431
14,293.95,286.4,-2.568464024493966,286.4,302.05,-2.568464024493966,2.755570675284913
15,290.8,288.55,-0.77372764786795,288.55,290.8,-0.77372764786795,0.0
16,203.25,199.8,-1.697416974169741,199.8,204.85,-1.697416974169741,0.7872078720787101
17,179.55,186.6,3.926482873851289,179.55,190.8,0.0,6.265664160400997
18,193.4,197.0,1.8614270941054833,192.3,226.75,-0.5687693898655644,17.244053774560484
19,207.0,207.0,0.0,207.0,211.85,0.0,2.3429951690821182
20,211.0,208.5,-1.1848341232227444,208.5,211.0,-1.1848341232227444,0.0
21,210.0,234.15,11.5,207.35,250.1,-1.261904761904764,19.0952380952381
22,219.25,210.05,-4.196123147092356,210.05,219.25,-4.196123147092356,0.0
23,219.55,216.55,-1.3664313368253245,216.55,220.7,-1.3664313368253245,0.5237986791163607
24,218.65,213.05,-2.561170820946712,213.05,231.95,-2.561170820946712,6.082780699748458
25,223.6,222.0,-0.7155635062611743,222.0,224.35,-0.7155635062611743,0.3354203935599376
26,219.9,223.7,1.728058208276484,219.7,226.95,-0.09095043201455821,3.2060027285129467
27,227.65,222.4,-2.3061717548868876,222.4,229.45,-2.3061717548868876,0.7906874588183621
28,223.45,223.95,0.22376370552696923,222.9,224.0,-0.24614007607964838,0.2461400760796595
29,197.75,196.85,-0.455120101137807,196.85,198.3,-0.455120101137807,0.2781289506953222
30,196.55,192.05,-2.2894937674891924,192.05,198.45,-2.2894937674891924,0.9666751462731993
31,192.65,202.15,4.931222424085124,192.45,213.3,-0.10381520892811524,10.718920321827152
32,202.75,202.25,-0.2466091245376112,202.25,203.3,-0.2466091245376112,0.27127003699136676
33,202.45,200.8,-0.8150160533464956,200.45,204.0,-0.9878982464806119,0.7656211410224767
34,201.5,201.4,-0.04962779156327812,200.85,202.3,-0.3225806451612967,0.3970223325062028
35,200.55,200.05,-0.24931438544003592,198.55,200.7,-0.9972575417601548,0.07479431563199856
36,203.05,201.05,-0.9849790691947802,201.05,203.05,-0.9849790691947802,0.0
