start_time,entry,end_time,exit,profit
2018-02-06,710.7520733904137,2018-03-07,749.9,5.51
2018-04-23,629.9210302883338,2018-04-25,618.0,-1.89
2018-04-26,631.9715896507547,2018-05-22,640.99,1.43
2019-05-11,188.95566717238736,2019-05-12,188.11,-0.45
2019-05-13,188.95566717238736,2019-06-21,294.35,55.78
2019-06-22,303.3018663162089,2019-06-27,298.35,-1.63
2019-06-28,295.9377643082504,2019-06-30,292.7,-1.09
2019-07-03,295.9377643082504,2019-07-04,282.73,-4.46
2019-07-19,219.01019155919838,2019-07-22,217.51,-0.68
2019-07-25,219.01019155919838,2019-07-27,207.3,-5.35
2019-08-03,218.89557317083984,2019-08-10,206.48,-5.67
2019-08-11,210.51375974517535,2019-08-13,209.3,-0.58
2019-09-17,207.7711877830004,2019-09-23,201.29,-3.12
2019-10-09,190.3492254163844,2019-10-11,180.72,-5.06
2020-01-17,166.37734980907368,2020-01-23,162.81,-2.14
2020-01-26,167.24072988725996,2020-03-12,107.82,-35.53
2020-04-18,178.41603189851355,2020-04-20,170.2,-4.6
