start_time,entry,end_time,exit,profit
2017-09-19 00:00:00+00:00,3715.456178600343,2017-09-22 00:00:00+00:00,3611.0,-2.81
2017-09-24 00:00:00+00:00,3723.2574737697278,2017-09-25 00:00:00+00:00,3660.4,-1.69
2017-09-26 00:00:00+00:00,3750.213820573894,2018-01-17 00:00:00+00:00,11330.0,202.12
2018-01-21 00:00:00+00:00,12550.080153225681,2018-01-22 00:00:00+00:00,11560.0,-7.89
2018-02-18 00:00:00+00:00,10900.119963659938,2018-02-19 00:00:00+00:00,10402.0,-4.57
2018-02-20 00:00:00+00:00,10856.617415851599,2018-02-22 00:00:00+00:00,10455.0,-3.7
2018-03-02 00:00:00+00:00,10790.417980457238,2018-03-08 00:00:00+00:00,9913.5,-8.13
2018-04-21 00:00:00+00:00,8665.402514270325,2018-05-12 00:00:00+00:00,8413.0,-2.91
2018-07-18 00:00:00+00:00,7312.508730013364,2018-07-20 00:00:00+00:00,7466.5,2.11
2018-07-24 00:00:00+00:00,7535.484074021281,2018-08-04 00:00:00+00:00,7411.0,-1.65
2018-09-03 00:00:00+00:00,7242.120732703796,2018-09-06 00:00:00+00:00,6689.0,-7.64
2018-10-16 00:00:00+00:00,6426.179155043453,2018-10-19 00:00:00+00:00,6394.5,-0.49
2019-04-03 00:00:00+00:00,4640.173517048295,2019-05-10 00:00:00+00:00,6140.0,32.32
2019-05-14 00:00:00+00:00,7236.524767580851,2019-05-18 00:00:00+00:00,7352.0,1.6
2019-05-20 00:00:00+00:00,7780.380254531118,2019-05-23 00:00:00+00:00,7624.0,-2.01
2019-05-27 00:00:00+00:00,8379.618307122899,2019-06-05 00:00:00+00:00,7663.0,-8.55
2019-06-15 00:00:00+00:00,8287.402145663467,2019-09-25 00:00:00+00:00,8533.5,2.97
2019-10-26 00:00:00+00:00,8641.564325985466,2019-11-16 00:00:00+00:00,8456.0,-2.15
2020-01-08 00:00:00+00:00,7997.200605414292,2020-01-10 00:00:00+00:00,7810.5,-2.33
2020-01-11 00:00:00+00:00,8021.442700740117,2020-03-09 00:00:00+00:00,8038.5,0.21
